Cue,Answer,face,emotion,gender,identity,mouth,ethnicity,base,move_1,move_2,move_3,compatibility,response_no,cue_width,cue_height,
AM_BW_JPEG/AM07_BW/AM07_HO.jpg,,EA_female_2_AF01_BW/AF01_HO.jpg,happy,female,2,open,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,400px,400px,
AM_BW_JPEG/AM10_BW/AM10_HO.jpg,,C_female_2_WF11_BW/WF11_HC.jpg,happy,female,6,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,400px,400px,
HF_BW_JPEG/HF02_BW/HF02_HO.jpg,,C_female_2_WF11_BW/WF11_HC.jpg,happy,female,6,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,400px,400px,
HF_BW_JPEG/HF04_BW/HF04_HO.jpg,,SA_female_1_HF02_BW/HF02_HC.jpg,happy,female,5,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,400px,400px,
AM_BW_JPEG/AM03_BW/AM03_HO.jpg,,SA_female_1_HF02_BW/HF02_HC.jpg,happy,female,5,closed,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,400px,400px,
HM_BW_JPEG/HM10_BW/HM10_HO.jpg,,EA_female_1_AF07_BW/AF07_HO.jpg,happy,female,1,open,east asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,400px,400px,
,,C_male_1_WM05_BW/WM05_HO.jpg,happy,male,7,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_female_1_WF03_BW/WF03_HC.jpg,happy,female,5,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,C_female_2_WF11_BW/WF11_AC.jpg,angry,female,6,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,SA_male_1_AM03_BW/AM03_HC.jpg,happy,male,7,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_female_1_HF02_BW/HF02_AC.jpg,angry,female,5,closed,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_female_1_BF15_BW/BF15_HO.jpg,happy,female,1,open,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_male_2_WM03_BW/WM03_AO.jpg,angry,male,8,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_male_1_BM15_BW/BM15_HO.jpg,happy,male,3,open,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,SA_male_1_AM03_BW/AM03_HC.jpg,happy,male,7,closed,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_female_1_BF15_BW/BF15_HC.jpg,happy,female,1,closed,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,C_male_1_WM05_BW/WM05_AO.jpg,angry,male,7,open,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,SA_male_1_AM03_BW/AM03_HC.jpg,happy,male,7,closed,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,SA_male_1_AM03_BW/AM03_AC.jpg,angry,male,7,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,C_male_2_WM03_BW/WM03_HC.jpg,happy,male,8,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_male_2_WM03_BW/WM03_AC.jpg,angry,male,8,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_male_2_BM09_BW/BM09_AC.jpg,angry,male,4,closed,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,SA_female_2_HF04_BW/HF04_AO.jpg,angry,female,6,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_male_2_BM09_BW/BM09_HO.jpg,happy,male,4,open,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,A_female_2_BF17_BW/BF17_AC.jpg,angry,female,2,closed,african,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,EA_female_2_AF01_BW/AF01_HO.jpg,happy,female,2,open,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,C_male_2_WM03_BW/WM03_AC.jpg,angry,male,8,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,EA_female_2_AF01_BW/AF01_HC.jpg,happy,female,2,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_male_1_AM07_BW/AM07_AO.jpg,angry,male,3,open,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,C_male_1_WM05_BW/WM05_AC.jpg,angry,male,7,closed,caucasian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
,,SA_female_2_HF04_BW/HF04_AC.jpg,angry,female,6,closed,south asian,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,C_female_1_WF03_BW/WF03_AC.jpg,angry,female,5,closed,caucasian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_male_1_AM07_BW/AM07_AC.jpg,angry,male,3,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,compatible,1,,,
,,EA_female_1_AF07_BW/AF07_HC.jpg,happy,female,1,closed,east asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_female_1_BF15_BW/BF15_HC.jpg,happy,female,1,closed,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,incompatible,1,,,
,,SA_male_2_HM10_BW/HM10_HO.jpg,happy,male,8,open,south asian,gloved/baseline.JPG,gloved/index1.JPG,gloved/index2.JPG,gloved/index3.jpg,incompatible,2,,,
,,A_male_1_BM15_BW/BM15_HO.jpg,happy,male,3,open,african,gloved/baseline.JPG,gloved/middle1.JPG,gloved/middle2.JPG,gloved/middle3.JPG,compatible,2,,,
